id,word_x,pred_stem,pred_pos,pred_tags,pred_sep_form,unrecognized,word_y,stem,pos,tags,sep_form,check_stem,check_pos,check_tags,check_sep_form,check_all
0,Белижда,,,,,1,Белижда,белиж,n,"essive, in",белижд-а,0.0,0.0,0.0,0.0,0.0
1,съезд,съезд,n,abs,съезд,0,съезд,съезд,n,abs,съезд,1.0,1.0,1.0,1.0,1.0
2,Июлдиз,,,,,1,Июлдиз,июл,n,dat,июлди-з,0.0,0.0,0.0,0.0,0.0
3,Белиждин,,,,,1,Белиждин,белиж,n,gen,белижди-н,0.0,0.0,0.0,0.0,0.0
4,поселокда,поселок,n,"essive, in",поселокд-а,0,поселокда,поселок,n,"essive, in",поселокд-а,1.0,1.0,1.0,1.0,1.0
5,СССРдин,,,,,1,СССРдин,ссср,n,gen,сссрди-н,0.0,0.0,0.0,0.0,0.0
6,йис,йис,n,abs,йис,0,йис,йис,n,abs,йис,1.0,1.0,1.0,1.0,1.0
7,совхоздин,совхоз,n,gen,совхозди-н,0,совхоздин,совхоз,n,gen,совхозди-н,1.0,1.0,1.0,1.0,1.0
8,Культурадин,культура,n,gen,культуради-н,0,Культурадин,культура,n,gen,культуради-н,1.0,1.0,1.0,1.0,1.0
9,дворецда,,,,,1,дворецда,дворец,n,"essive, in",дворецд-а,0.0,0.0,0.0,0.0,0.0
10,лезгийрин,лезги,n,"gen, pl",лезги-йри-н,0,лезгийрин,лезги,n,"gen, pl",лезги-йри-н,1.0,1.0,1.0,1.0,1.0
11,Садвал,,,,,1,Садвал,садвал,n,abs,садвал,0.0,0.0,0.0,0.0,0.0
12,тӀвар,тӀвар,n,abs,тӀвар,0,тӀвар,тӀвар,n,abs,тӀвар,1.0,1.0,1.0,1.0,1.0
13,ганвай,га,verb,"prf, ptp",га-нва-й,0,ганвай,га,verb,"prf, ptp",га-нва-й,1.0,1.0,1.0,1.0,1.0
14,гьеракатдин,,,,,1,гьеракатдин,гьеракат,n,gen,гьеракатди-н,0.0,0.0,0.0,0.0,0.0
15,съезд,съезд,n,abs,съезд,0,съезд,съезд,n,abs,съезд,1.0,1.0,1.0,1.0,1.0
16,кьиле,кьил,n,erg,кьил-е,0,кьиле,кьил,n,"essive, in",кьил-е,1.0,1.0,0.0,1.0,0.0
16,кьиле,кьил,n,"essive, in",кьил-е,0,кьиле,кьил,n,"essive, in",кьил-е,1.0,1.0,1.0,1.0,1.0
17,фена,фе,verb,aor,фе-на,0,фена,фе,verb,aor,фе-на,1.0,1.0,1.0,1.0,1.0
18,Еке,еке,adj,,еке,0,Еке,еке,adj,,еке,1.0,1.0,1.0,1.0,1.0
18,Еке,еке,adv,,еке,0,Еке,еке,adj,,еке,1.0,0.0,1.0,1.0,0.0
19,зал,зал,n,abs,зал,0,зал,зал,n,abs,зал,1.0,1.0,1.0,1.0,1.0
19,зал,зун,prn,"essive, super",за-л,0,зал,зал,n,abs,зал,0.0,0.0,0.0,0.0,0.0
20,Яшамишрай,яшамишрай,intj,,яшамишрай,0,Яшамишрай,яшамиш,verb,opt,яшамиш-рай,0.0,0.0,0.0,0.0,0.0
21,советрин,советрин,adj,,советрин,0,советрин,совет,n,"gen, pl",совет-ри-н,0.0,0.0,0.0,0.0,0.0
21,советрин,совет,n,"gen, pl",совет-ри-н,0,советрин,совет,n,"gen, pl",совет-ри-н,1.0,1.0,1.0,1.0,1.0
22,халкьарин,халкь,n,"gen, pl",халкь-ари-н,0,халкьарин,халкь,n,"gen, pl",халкь-ари-н,1.0,1.0,1.0,1.0,1.0
23,дуствал,,,,,1,дуствал,дуствал,n,abs,дуствал,0.0,0.0,0.0,0.0,0.0
24,Яшамишрай,яшамишрай,intj,,яшамишрай,0,Яшамишрай,яшамиш,verb,opt,яшамиш-рай,0.0,0.0,0.0,0.0,0.0
25,лезги,лезги,adj,,лезги,0,лезги,лезги,adj,,лезги,1.0,1.0,1.0,1.0,1.0
25,лезги,лезги,n,abs,лезги,0,лезги,лезги,adj,,лезги,1.0,0.0,0.0,1.0,0.0
26,халкьдин,халкьдин,adj,,халкьдин,0,халкьдин,халкь,n,gen,халкьди-н,0.0,0.0,0.0,0.0,0.0
26,халкьдин,халкь,n,gen,халкьди-н,0,халкьдин,халкь,n,gen,халкьди-н,1.0,1.0,1.0,1.0,1.0
27,садвал,,,,,1,садвал,садвал,n,abs,садвал,0.0,0.0,0.0,0.0,0.0
28,ва,ва,conj,,ва,0,ва,ва,conj,,ва,1.0,1.0,1.0,1.0,1.0
28,ва,вун,prn,"essive, in",в-а,0,ва,ва,conj,,ва,0.0,0.0,0.0,0.0,0.0
29,маса,маса,adj,,маса,0,маса,маса,adj,,маса,1.0,1.0,1.0,1.0,1.0
30,лозунгри,лозунг,n,"erg, pl",лозунг-ри,0,лозунгри,лозунг,n,"erg, pl",лозунг-ри,1.0,1.0,1.0,1.0,1.0
31,безетмишнавай,безетмиш,verb,"prf, pst",безетмиш-нава-й,0,безетмишнавай,безетмиш,verb,"prf, pst",безетмиш-нава-й,1.0,1.0,1.0,1.0,1.0
32,Съездда,съезд,n,"essive, in",съездд-а,0,Съездда,съезд,n,"essive, in",съездд-а,1.0,1.0,1.0,1.0,1.0
33,иштиракун,,,,,1,иштиракун,иштирак,verb,msd,иштирак-ун,0.0,0.0,0.0,0.0,0.0
34,патал,пад,n,"essive, super",пата-л,0,патал,патал,post,,патал,0.0,0.0,0.0,0.0,0.0
34,патал,патал,adj,,патал,0,патал,патал,post,,патал,1.0,0.0,1.0,1.0,0.0
34,патал,патал,adv,,патал,0,патал,патал,post,,патал,1.0,0.0,1.0,1.0,0.0
34,патал,патал,post,,патал,0,патал,патал,post,,патал,1.0,1.0,1.0,1.0,1.0
35,Махачкъаладай,махачкъала,n,"elative, in",махачкъалад-а-й,0,Махачкъаладай,махачкъала,n,"elative, in",махачкъалад-а-й,1.0,1.0,1.0,1.0,1.0
36,Дербентдай,дербент,n,"elative, in",дербентд-а-й,0,Дербентдай,дербент,n,"elative, in",дербентд-а-й,1.0,1.0,1.0,1.0,1.0
37,Москвадай,москва,n,"elative, in",москвад-а-й,0,Москвадай,москва,n,"elative, in",москвад-а-й,1.0,1.0,1.0,1.0,1.0
38,Бакудай,баку,n,"elative, in",бакуд-а-й,0,Бакудай,баку,n,"elative, in",бакуд-а-й,1.0,1.0,1.0,1.0,1.0
39,Сумгаитдай,,,,,1,Сумгаитдай,сумгаит,n,"elative, in",сумгаитд-а-й,0.0,0.0,0.0,0.0,0.0
40,Нальчикдай,,,,,1,Нальчикдай,нальчик,n,"elative, in",нальчикд-а-й,0.0,0.0,0.0,0.0,0.0
