id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
0,Керекулни,керекул,n,add,керекул-ни,0
1,жанавур,жанавур,n,abs,жанавур,0
2,Гатфарин,гатфарин,adj,,гатфарин,0
2,Гатфарин,гатфар,n,gen,гатфари-н,0
3,вахт,вахт,n,abs,вахт,0
4,тир,я,cop,pst,тир,0
4,тир,я,cop,ptp,тир,0
4,тир,тир,adj,,тир,0
4,тир,тир,n,abs,тир,0
5,Таму,там,n,erg,там-у,0
6,тара,тар,n,erg,тар-а,0
6,тара,тар,n,"in,essive",тар-а,0
7,пеш,пеш,n,abs,пеш,0
8,ахъайна,ахъай,verb,aoc,ахъай-на,0
8,ахъайна,ахъай,verb,aor,ахъай-на,0
9,кьуд,кьуд,num,,кьуд,0
10,пад,пад,n,abs,пад,0
10,пад,пад,verb,per,пад,0
11,къацу,къацу,adj,,къацу,0
12,хьанвай,хьа,verb,"prf,pst",хьа-нва-й,0
12,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й,0
12,хьанвай,хьанвай,adj,,хьанвай,0
13,Тамал,там,n,"super,essive",тама-л,0
14,къушари,къуш,n,"pl,erg",къуш-ари,0
15,ван,ван,n,abs,ван,0
15,ван,ван,verb,per,ван,0
16,ацалднавай,ацалд,verb,"prf,pst",ацалд-нава-й,0
16,ацалднавай,ацалд,verb,"prf,ptp",ацалд-нава-й,0
17,Гьа,гьа,part,,гьа,0
17,Гьа,гьа,prn,,гьа,0
18,и,и,prn,,и,0
19,арада,арада,postp,,арада,0
19,арада,ара,n,"in,essive",арад-а,0
20,фадлай,фадлай,adv,,фадлай,0
21,недай,не,verb,"fut,ptp",не-да-й,0
21,недай,не,verb,"fut,pst",не-да-й,0
21,недай,недай,adj,,недай,0
22,затӀ,затӀ,n,abs,затӀ,0
23,матӀ,матӀ,n,abs,матӀ,0
24,жагъун,,,,,1
25,тавунвай,аву,verb,"neg,prf,ptp",т-аву-нва-й,0
26,рехи,рехи,adj,,рехи,0
27,жанавур,жанавур,n,abs,жанавур,0
28,тамун,тамун,adj,,тамун,0
28,тамун,там,n,gen,таму-н,0
29,жигъирдай,жигъир,n,"in,elative",жигъирд-а-й,0
30,тӀуз,тӀуз,postp,,тӀуз,0
31,вич,вич,prn,,вич,0
32,масабуруз,маса,adj,"pl,dat",маса-буру-з,0
33,такурай,,,,,1
34,лугьуз,лугьуз,conj,,лугьуз,0
34,лугьуз,лугьуз,part,,лугьуз,0
34,лугьуз,лугьу,verb,inf,лугьу-з,0
35,яваш,яваш,adj,,яваш,0
35,яваш,яваш,adv,,яваш,0
35,яваш,яваш,intj,,яваш,0
36,яваш,яваш,adj,,яваш,0
36,яваш,яваш,adv,,яваш,0
36,яваш,яваш,intj,,яваш,0
37,инихъ,инихъ,adv,,инихъ,0
38,анихъ,анихъ,adv,,анихъ,0
38,анихъ,анихъ,verb,per,анихъ,0
39,килигиз,килиг,verb,inf,килиг-из,0
40,виликди,виликди,adv,,виликди,0
40,виликди,вилик,adj,"sg,abs",вилик-ди,0
40,виликди,вилик,verb,afut,вилик-ди,0
40,виликди,вил,n,"sub,directive",вили-к-ди,0
41,физвай,фи,verb,"imperf,pst",фи-зва-й,0
41,физвай,фи,verb,"imperf,ptp",фи-зва-й,0
42,Заз,зун,prn,dat,за-з,0
43,акуна,аку,verb,aoc,аку-на,0
43,акуна,аку,verb,aor,аку-на,0
43,акуна,акун,n,"in,essive",акун-а,0
44,заз,зун,prn,dat,за-з,0
45,акуна,аку,verb,aoc,аку-на,0
45,акуна,аку,verb,aor,аку-на,0
45,акуна,акун,n,"in,essive",акун-а,0
46,гьарайна,гьарай,verb,aoc,гьарай-на,0
46,гьарайна,гьарай,verb,aor,гьарай-на,0
47,пипин,пипин,adj,,пипин,0
48,тарцин,тар,n,gen,тарци-н,0
49,кӀукӀни,кӀукӀ,n,add,кӀукӀ-ни,0
50,кукӀва,кукӀва,n,abs,кукӀва,0
51,ацукьнавай,ацукь,verb,"prf,pst",ацукь-нава-й,0
51,ацукьнавай,ацукь,verb,"prf,ptp",ацукь-нава-й,0
52,керекулди,керекул,n,erg,керекул-ди,0
53,И,и,prn,,и,0
54,керекул,керекул,n,abs,керекул,0
55,акьван,акьван,adv,,акьван,0
55,акьван,акьван,n,abs,акьван,0
55,акьван,акьван,part,,акьван,0
56,гьахълуди,гьахълу,adj,"sg,abs",гьахълу-ди,0
57,тир,я,cop,ptp,тир,0
57,тир,я,cop,pst,тир,0
57,тир,тир,adj,,тир,0
57,тир,тир,n,abs,тир,0
58,хьи,хьи,conj,,хьи,0
58,хьи,хьи,part,,хьи,0
59,адакай,а,prn,"sg,sub,elative",ада-к-ай,0
60,чуьлдин,чуьлдин,adj,,чуьлдин,0
60,чуьлдин,чуьл,n,gen,чуьлди-н,0
61,тамун,тамун,adj,,тамун,0
61,тамун,там,n,gen,таму-н,0
62,гзаф,гзаф,adv,,гзаф,0
63,гьайванриз,гьайван,n,"pl,dat",гьайван-ри-з,0
64,куьмек,куьмек,n,abs,куьмек,0
65,хьанвай,хьа,verb,"prf,pst",хьа-нва-й,0
65,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й,0
65,хьанвай,хьанвай,adj,,хьанвай,0
66,Кис,кис,intj,,кис,0
66,Кис,кис,verb,imper,кис,0
66,Кис,кис,verb,per,кис,0
67,мердимазар,мердимазар,adj,,мердимазар,0
67,мердимазар,мердимазар,n,abs,мердимазар,0
68,ваз,вун,prn,dat,ва-з,0
69,аквазвачни,аква,verb,"imperf,neg,inter",аква-зва-ч-ни,0
70,зал,зал,n,abs,зал,0
70,зал,зун,prn,"super,essive",за-л,0
71,алай,ала,cop,ptp,ала-й,0
71,алай,ала,cop,pst,ала-й,0
71,алай,алай,adj,,алай,0
72,гьал,гьал,n,abs,гьал,0
72,гьал,гьал,verb,imper,гьал,0
72,гьал,гьал,verb,per,гьал,0
73,Зи,зун,prn,gen,зи,0
74,яцӀу,яцӀу,adj,,яцӀу,0
75,ратари,,,,,1
76,шуькӀуь,шуькӀуь,adj,,шуькӀуь,0
77,ратар,,,,,1
78,незва,не,verb,imperf,не-зва,0
79,зун,зун,prn,,зун,0
80,фидайла,фидайла,adv,,фидайла,0
80,фидайла,фи,verb,"fut,ptp,temp",фи-да-й-ла,0
81,гагь,гагь,adv,,гагь,0
82,и,и,prn,,и,0
83,пата,пад,n,erg,пат-а,0
83,пата,пад,n,"in,essive",пат-а,0
84,гагь,гагь,adv,,гагь,0
85,а,а,prn,,а,0
86,пата,пад,n,erg,пат-а,0
86,пата,пад,n,"in,essive",пат-а,0
87,акьазва,акьа,verb,imperf,акьа-зва,0
88,лагьана,лагьа,verb,aor,лагьа-на,0
88,лагьана,лагьа,verb,aoc,лагьа-на,0
88,лагьана,лагьана,conj,,лагьана,0
89,жанавурди,жанавур,n,erg,жанавур-ди,0
90,За,зун,prn,erg,за,0
90,За,зун,prn,"in,essive",з-а,0
91,ваз,вун,prn,dat,ва-з,0
92,кис,кис,intj,,кис,0
92,кис,кис,verb,imper,кис,0
92,кис,кис,verb,per,кис,0
93,лугьузвачни,лугьу,verb,"imperf,neg,inter",лугьу-зва-ч-ни,0
94,лагълагьчи,,,,,1
95,Кис,кис,intj,,кис,0
95,Кис,кис,verb,imper,кис,0
95,Кис,кис,verb,per,кис,0
96,тавуртӀа,аву,verb,"neg,aor,ptp,cnd",т-аву-р-тӀа,0
97,вавай,вун,prn,"ad,elative",ва-в-ай,0
98,заз,зун,prn,dat,за-з,0
99,вуч,вуч,prn,,вуч,0
100,жеда,же,verb,fut,же-да,0
101,Зун,зун,prn,,зун,0
102,вун,вун,prn,,вун,0
103,хьтин,хьтин,part,,хьтин,0
104,тарашчи,тарашчи,n,abs,тарашчи,0
105,туш,я,cop,neg,туш,0
106,Ша,ша,part,,ша,0
106,Ша,ша,verb,imper,ша,0
107,чун,чун,prn,,чун,0
108,дуст,дуст,adj,,дуст,0
108,дуст,дуст,n,abs,дуст,0
109,жен,же,verb,hort,же-н,0
110,керекул,керекул,n,abs,керекул,0
111,Завай,зун,prn,"ad,elative",за-в-ай,0
112,гишила,гишила,adv,,гишила,0
113,мад,мад,adv,,мад,0
113,мад,мад,part,,мад,0
114,къекъвез,къекъве,verb,inf,къекъве-з,0
115,жезмач,же,verb,"imperf.cont,neg",же-зма-ч,0
116,Зун,зун,prn,,зун,0
117,инал,инал,adv,,инал,0
118,акъвазин,акъваз,verb,hort,акъваз-ин,0
119,вуна,вун,prn,erg,вуна,0
120,фена,фе,verb,aor,фе-на,0
120,фена,фе,verb,aoc,фе-на,0
121,хуьруьн,хуьруьн,adj,,хуьруьн,0
121,хуьруьн,хуьр,n,gen,хуьруь-н,0
122,уьруьшрилай,,,,,1
123,цӀар,цӀар,n,abs,цӀар,0
124,илитӀа,,,,,1
125,Гьинал,,,,,1
126,кас,кас,n,abs,кас,0
127,галачиз,гала,cop,"neg,cvb",гала-ч-из,0
128,тек,тек,adj,,тек,0
128,тек,тек,adv,,тек,0
129,мал,мал,n,abs,мал,0
130,тек,тек,adj,,тек,0
130,тек,тек,adv,,тек,0
131,хеб,,,,,1
132,алатӀа,ала,cop,cnd,ала-тӀа,0
133,заз,зун,prn,dat,за-з,0
