id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
0,Къарпузар,къарпуз,n,"pl,abs",къарпуз-ар,0
1,ни,вуж,prn,erg,ни,0
1,ни,ни,conj,,ни,0
1,ни,ни,n,abs,ни,0
1,ни,ни,part,,ни,0
2,чуьнуьжзава,чуьнуьж,verb,imperf,чуьнуьж-зава,0
3,Дегь,дегь,adj,,дегь,0
3,Дегь,дегь,intj,,дегь,0
4,замандин,заман,n,gen,заманди-н,0
5,зурба,зурба,adj,,зурба,0
6,тама,там,n,"in,essive",там-а,0
7,чи,чи,verb,,чи,0
7,чи,чун,prn,gen,чи,0
8,колхоздихъ,колхоз,n,"post,essive",колхозди-хъ,0
9,еке,еке,adj,,еке,0
9,еке,еке,adv,,еке,0
10,белгенар,белген,n,"pl,abs",белген-ар,0
11,ава,ава,cop,imperf,ава,0
12,Инра,,,,,1
13,гьар,гьар,prn,,гьар,0
14,йисуз,йисуз,adv,,йисуз,0
14,йисуз,йис,n,dat,йису-з,0
15,бустанар,бустан,n,"pl,abs",бустан-ар,0
16,цазва,ца,verb,imperf,ца-зва,0
17,И,и,prn,,и,0
18,бустанра,бустан,n,"pl,in,essive",бустан-р-а,0
19,къарпузар,къарпуз,n,"pl,abs",къарпуз-ар,0
20,гатун,гад,n,gen,гату-н,0
20,гатун,гатун,adj,,гатун,0
21,халияр,хали,n,"pl,abs",хали-яр,0
22,афнияр,афни,n,"pl,abs",афни-яр,0
23,буранар,буран,n,"pl,abs",буран-ар,0
24,цазва,ца,verb,imperf,ца-зва,0
25,А,а,prn,,а,0
26,угъриди,угъри,n,erg,угъри-ди,0
27,гьи,гьи,prn,,гьи,0
28,вахтунда,вахтунда,adv,,вахтунда,0
29,къвезватӀани,къве,verb,"imperf,cnd,add",къве-зва-тӀа-ни,0
30,чидач,чи,verb,"fut,neg",чи-да-ч,0
31,хъсан,хъсан,adj,,хъсан,0
32,чранвай,чра,verb,"prf,ptp",чра-нва-й,0
33,къарпузар,къарпуз,n,"pl,abs",къарпуз-ар,0
34,жагъурна,жагъур,verb,aoc,жагъур-на,0
35,абур,абур,n,abs,абур,0
35,абур,а,prn,"pl,abs",абур,0
36,я,я,cop,imperf,я,0
37,бустанда,бустан,n,"in,essive",бустанд-а,0
38,чкадал,чкадал,adv,,чкадал,0
38,чкадал,чкадал,postp,,чкадал,0
38,чкадал,чка,n,"super,essive",чкада-л,0
39,я,я,conj,,я,0
39,я,я,cop,imperf,я,0
39,я,я,part,,я,0
40,тухвана,тухва,verb,aoc,тухва-на,0
41,лап,лап,adv,,лап,0
41,лап,лап,part,,лап,0
42,мукьвал,мукьвал,adj,,мукьвал,0
43,алай,ала,cop,ptp,ала-й,0
44,кулара,кул,n,"pl,in,essive",кул-ар-а,0
45,незва,не,verb,imperf,не-зва,0
46,Ингье,ингье,part,,ингье,0
47,пуд,пуд,num,,пуд,0
48,йиф,йиф,n,abs,йиф,0
48,йиф,йиф,verb,per,йиф,0
49,я,я,cop,imperf,я,0
50,за,зун,prn,erg,за,0
50,за,зун,prn,"in,essive",з-а,0
51,вил,вил,n,abs,вил,0
52,кьванни,кьванни,part,,кьванни,0
52,кьванни,кьван,n,add,кьван-ни,0
53,акьалнавач,акьал,verb,"prf,neg",акьал-нава-ч,0
54,гьа,гьа,part,,гьа,0
54,гьа,гьа,prn,,гьа,0
55,вили,вили,adj,,вили,0
55,вили,вил,n,erg,вил-и,0
56,хуьзва,хуь,verb,imperf,хуь-зва,0
57,амма,амма,conj,,амма,0
58,завай,зун,prn,"ad,elative",за-в-ай,0
59,угъри,угъри,n,abs,угъри,0
60,кьаз,кьа,verb,inf,кьа-з,0
61,жезвач,же,verb,"imperf,neg",же-зва-ч,0
62,кьи,,,,,1
63,жезвач,же,verb,"imperf,neg",же-зва-ч,0
64,лагьана,лагьа,verb,aoc,лагьа-на,0
65,бустанчи,бустанчи,n,abs,бустанчи,0
66,Букар,,,,,1
67,халуди,халу,n,erg,халу-ди,0
68,шикаят,шикаят,n,abs,шикаят,0
68,шикаят,шикаят,verb,per,шикаят,0
69,авуна,аву,verb,aor,аву-на,0
70,Белки,белки,intj,,белки,0
71,кьуьзуь,кьуьзуь,adj,,кьуьзуь,0
72,хьуниз,хьу,verb,"msd,dat",хьу-ни-з,0
73,килигна,килиг,verb,aoc,килиг-на,0
74,зи,зун,prn,gen,зи,0
75,вилериз,вилер,verb,inf,вилер-из,0
75,вилериз,вил,n,"pl,dat",вил-ери-з,0
76,экв,экв,n,abs,экв,0
77,аквазмач,аква,verb,"imperf.cont,neg",аква-зма-ч,0
78,вунни,вун,prn,add,вун-ни,0
79,са,са,adj,,са,0
79,са,са,num,,са,0
79,са,са,part,,са,0
80,кьве,кьве,num,,кьве,0
81,юкъуз,юкъуз,adv,,юкъуз,0
82,и,и,prn,,и,0
83,бустанда,бустан,n,"in,essive",бустанд-а,0
84,амукь,амукь,verb,imper,амукь,0
84,амукь,амукь,verb,per,амукь,0
85,белки,белки,intj,,белки,0
86,а,а,prn,,а,0
87,къариба,къариба,adj,,къариба,0
88,угъри,угъри,n,abs,угъри,0
89,ваз,вун,prn,dat,ва-з,0
90,акван,акван,part,,акван,0
90,акван,аква,verb,per,акван,0
90,акван,аква,verb,hort,аква-н,0
90,акван,аква,verb,msd,аква-н,0
91,Зун,зун,prn,,зун,0
92,Букар,,,,,1
93,халудин,халудин,adj,,халудин,0
93,халудин,халу,n,gen,халуди-н,0
94,кьилив,кьилив,adv,,кьилив,0
94,кьилив,кьилив,postp,,кьилив,0
94,кьилив,кьил,n,"ad,essive",кьили-в,0
95,нисинлай,,,,,1
96,алатайдалай,алатай,adj,"sg,super,elative",алатай-да-л-ай,0
96,алатайдалай,алат,verb,"aor,ptp,sg,super,elative",алат-ай-да-л-ай,0
97,кьулухъ,кьулухъ,adv,,кьулухъ,0
97,кьулухъ,кьулухъ,conj,,кьулухъ,0
97,кьулухъ,кьулухъ,postp,,кьулухъ,0
98,ружани,ружа,n,add,ружа-ни,0
99,гваз,гва,cop,cvb,гва-з,0
100,атана,ата,verb,aor,ата-на,0
101,Чна,чун,prn,erg,чна,0
102,зурба,зурба,adj,,зурба,0
103,са,са,adj,,са,0
103,са,са,num,,са,0
103,са,са,part,,са,0
104,мегъуьн,,,,,1
105,таран,тар,n,gen,тара-н,0
106,танда,тан,n,"in,essive",танд-а,0
107,кьве,кьве,num,,кьве,0
108,еке,еке,adj,,еке,0
108,еке,еке,adv,,еке,0
109,хилен,,,,,1
110,арада,арада,postp,,арада,0
110,арада,ара,n,"in,essive",арад-а,0
111,эцигнавай,эциг,verb,"prf,ptp",эциг-нава-й,0
112,кумада,кума,n,"in,essive",кумад-а,0
113,чка,чка,n,abs,чка,0
114,кьуна,кьу,verb,aor,кьу-на,0
115,Инлай,инлай,adv,,инлай,0
116,вири,вири,adv,,вири,0
116,вири,вири,n,abs,вири,0
116,вири,вири,prn,,вири,0
116,вири,вир,n,erg,вир-и,0
117,бустан,бустан,n,abs,бустан,0
118,капаллай,,,,,1
119,хьиз,хьиз,conj,,хьиз,0
119,хьиз,хьиз,part,,хьиз,0
120,аквазва,аква,verb,imperf,аква-зва,0
121,ГьикӀ,гьикӀ,adv,,гьикӀ,0
121,ГьикӀ,гьикӀ,part,,гьикӀ,0
